"name","totempl","base_high_credit","ccs","pd","lgd"
"C1",1,5548,0,0.64566,0.87
"C2",3,1681,0,0.64566,0.87
"C3",4,721,0,0.64566,0.79
"C4",12,7097,0,0.64566,0.47
"C5",12,10126,0,0.64566,0.47
"C6",12,11298,0,0.64566,0.47
"C7",14,2237,0,0.64566,0.39
"C8",470,12469,0,0.64566,0.15
"C9",110,940,3,0.61064,0.23
"C10",160,10173,3,0.61064,0.15
"C11",15,27636,4,0.59869,0.39
"C12",4,10347,5,0.58662,0.79
"C13",10,1813,5,0.58662,0.47
"C14",10,26026,6,0.57444,0.47
"C15",30,13470,6,0.57444,0.31
"C16",3,9423,7,0.56218,0.87
"C17",4,160821,7,0.56218,0.79
"C18",5,2962,7,0.56218,0.71
"C19",7,14307,7,0.56218,0.55
"C20",13,4012,7,0.56218,0.39
"C21",25,3723,7,0.56218,0.31
"C22",40,38815,7,0.56218,0.23
"C23",50,3269,7,0.56218,0.23
"C24",150,2533,7,0.56218,0.15
"C25",200,105372,7,0.56218,0.15
"C26",277,5569,7,0.56218,0.15
"C27",4,29980,8,0.54983,0.79
"C28",6,6141,8,0.54983,0.63
"C29",8,23124,8,0.54983,0.55
"C30",9,372,8,0.54983,0.55
"C31",45,17221,8,0.54983,0.23
"C32",175,24707,8,0.54983,0.15
"C33",500,873032,8,0.54983,0.15
"C34",870,31600,8,0.54983,0.15
"C35",4,28960,9,0.53743,0.79
"C36",5,30146,9,0.53743,0.71
"C37",10,5667,9,0.53743,0.47
"C38",50,3623,9,0.53743,0.23
"C39",90,29229,9,0.53743,0.23
"C40",360,3690,9,0.53743,0.15
"C41",500,789,9,0.53743,0.15
"C42",729,57301,9,0.53743,0.15
"C43",900,10114,9,0.53743,0.15
"C44",3,18974,10,0.52498,0.87
"C45",14,4513,10,0.52498,0.39
"C46",625,931,10,0.52498,0.15
"C47",1,37178,11,0.5125,0.87
"C48",11,6557,11,0.5125,0.47
"C49",30,90950,11,0.5125,0.31
"C50",44,809,11,0.5125,0.23
"C51",20,26677,12,0.5,0.31
"C52",850,4691,12,0.5,0.15
"C53",943,422,12,0.5,0.15
"C54",4,2265,13,0.4875,0.79
"C55",5,135,13,0.4875,0.71
"C56",15,321,13,0.4875,0.39
"C57",27,13863,13,0.4875,0.31
"C58",1,56467,15,0.46257,0.87
"C59",10,3775,15,0.46257,0.47
"C60",230,8215,15,0.46257,0.15
"C61",700,1054,15,0.46257,0.15
"C62",5,11561,17,0.43782,0.71
"C63",148,25524,17,0.43782,0.15
"C64",275,14295,18,0.42556,0.15
"C65",175,3727,19,0.41338,0.15
"C66",15,25983,20,0.40131,0.39
"C67",7,1145,21,0.38936,0.55
"C68",6,4891,28,0.31003,0.63
"C69",800,75137,28,0.31003,0.15
"C70",5,62230,29,0.29943,0.71
